inst#,actual,predicted,error,prediction
2373,14:54,24:101,+,0.083
2374,14:54,24:101,+,0.128
2375,14:54,24:101,+,0.091
2376,14:54,24:101,+,0.084
2377,14:54,24:101,+,0.078
2378,14:54,13:53,+,0.115
2379,14:54,24:101,+,0.105
2380,14:54,24:101,+,0.124
2381,14:54,24:101,+,0.07
2382,14:54,24:101,+,0.108
2383,14:54,24:101,+,0.11
2384,14:54,24:101,+,0.101
2385,14:54,24:101,+,0.093
2386,14:54,8:48,+,0.127
2387,14:54,24:101,+,0.077
2388,14:54,24:101,+,0.118
2389,14:54,24:101,+,0.11
2390,42:119,24:101,+,0.096
2391,42:119,20:97,+,0.116
2392,42:119,24:101,+,0.118
2393,42:119,24:101,+,0.074
2394,42:119,20:97,+,0.119
2395,42:119,24:101,+,0.121
2396,42:119,24:101,+,0.131
2397,42:119,24:101,+,0.089
2398,2:13,24:101,+,0.167
2399,2:13,24:101,+,0.054
2400,2:13,24:101,+,0.091
2401,2:13,24:101,+,0.113
1,10:50,24:101,+,0.093
2,10:50,24:101,+,0.133
3,10:50,24:101,+,0.127
4,10:50,24:101,+,0.071
5,10:50,24:101,+,0.103
6,10:50,24:101,+,0.092
7,10:50,24:101,+,0.121
8,10:50,24:101,+,0.11
9,10:50,24:101,+,0.1
10,10:50,24:101,+,0.097
11,10:50,24:101,+,0.091
12,10:50,24:101,+,0.092
13,10:50,24:101,+,0.099
14,10:50,24:101,+,0.134
15,10:50,8:48,+,0.083
16,10:50,24:101,+,0.127
17,10:50,24:101,+,0.12
18,10:50,24:101,+,0.11
19,10:50,24:101,+,0.105
20,10:50,24:101,+,0.085
21,10:50,24:101,+,0.073
22,10:50,24:101,+,0.08
23,10:50,24:101,+,0.057
24,48:186,24:101,+,0.085
25,48:186,24:101,+,0.087
26,48:186,24:101,+,0.062
27,48:186,24:101,+,0.089
28,48:186,24:101,+,0.082
29,48:186,24:101,+,0.088
30,48:186,24:101,+,0.081
31,48:186,24:101,+,0.085
32,48:186,24:101,+,0.064
33,48:186,24:101,+,0.128
34,48:186,24:101,+,0.088
35,20:97,24:101,+,0.109
36,20:97,24:101,+,0.154
37,20:97,24:101,+,0.14
38,20:97,24:101,+,0.118
39,20:97,24:101,+,0.146
40,20:97,24:101,+,0.135
41,20:97,24:101,+,0.143
42,20:97,24:101,+,0.12
43,20:97,24:101,+,0.109
44,20:97,24:101,+,0.112
45,20:97,24:101,+,0.141
46,20:97,24:101,+,0.128
47,20:97,24:101,+,0.081
48,20:97,24:101,+,0.09
49,20:97,24:101,+,0.164
50,20:97,24:101,+,0.159
51,20:97,24:101,+,0.103
52,20:97,24:101,+,0.095
53,20:97,24:101,+,0.124
54,20:97,24:101,+,0.131
55,20:97,24:101,+,0.132
56,20:97,24:101,+,0.156
57,20:97,24:101,+,0.095
58,20:97,24:101,+,0.137
59,20:97,24:101,+,0.14
60,20:97,24:101,+,0.124
61,20:97,24:101,+,0.139
62,20:97,24:101,+,0.14
63,20:97,24:101,+,0.112
64,20:97,24:101,+,0.136
65,20:97,24:101,+,0.087
66,20:97,24:101,+,0.138
67,20:97,24:101,+,0.122
68,20:97,24:101,+,0.141
69,20:97,24:101,+,0.1
70,20:97,24:101,+,0.104
71,20:97,24:101,+,0.105
72,20:97,24:101,+,0.135
73,20:97,24:101,+,0.133
74,20:97,24:101,+,0.149
75,20:97,24:101,+,0.129
76,20:97,17:57,+,0.077
77,20:97,24:101,+,0.14
78,20:97,24:101,+,0.15
79,20:97,24:101,+,0.106
80,20:97,24:101,+,0.115
81,20:97,24:101,+,0.128
82,20:97,24:101,+,0.154
83,20:97,24:101,+,0.116
84,20:97,24:101,+,0.128
85,20:97,24:101,+,0.129
86,20:97,24:101,+,0.124
87,20:97,24:101,+,0.136
88,20:97,24:101,+,0.129
89,20:97,24:101,+,0.128
90,20:97,24:101,+,0.125
91,20:97,24:101,+,0.122
92,20:97,24:101,+,0.118
93,20:97,24:101,+,0.13
94,20:97,24:101,+,0.112
95,20:97,24:101,+,0.147
96,20:97,24:101,+,0.11
97,20:97,24:101,+,0.141
98,20:97,24:101,+,0.114
99,20:97,24:101,+,0.12
100,20:97,24:101,+,0.13
101,20:97,24:101,+,0.094
102,20:97,24:101,+,0.127
103,20:97,24:101,+,0.146
104,20:97,24:101,+,0.112
105,20:97,24:101,+,0.145
106,20:97,24:101,+,0.147
107,20:97,24:101,+,0.113
108,20:97,24:101,+,0.144
109,20:97,24:101,+,0.122
110,20:97,24:101,+,0.102
111,20:97,24:101,+,0.108
112,20:97,24:101,+,0.13
113,20:97,24:101,+,0.108
114,20:97,24:101,+,0.132
115,20:97,24:101,+,0.13
116,20:97,24:101,+,0.13
117,20:97,24:101,+,0.144
118,20:97,24:101,+,0.14
119,20:97,24:101,+,0.111
120,20:97,24:101,+,0.097
121,20:97,24:101,+,0.088
122,20:97,24:101,+,0.127
123,20:97,24:101,+,0.115
124,20:97,24:101,+,0.146
125,20:97,24:101,+,0.125
126,20:97,24:101,+,0.125
127,20:97,24:101,+,0.101
128,20:97,24:101,+,0.118
129,20:97,24:101,+,0.099
130,20:97,24:101,+,0.146
131,20:97,24:101,+,0.185
132,20:97,24:101,+,0.096
133,20:97,24:101,+,0.149
134,20:97,24:101,+,0.103
135,20:97,24:101,+,0.138
136,20:97,24:101,+,0.145
137,20:97,24:101,+,0.124
138,20:97,24:101,+,0.106
139,20:97,24:101,+,0.138
140,20:97,24:101,+,0.139
141,20:97,24:101,+,0.106
142,20:97,24:101,+,0.137
143,20:97,24:101,+,0.193
144,20:97,24:101,+,0.121
145,20:97,24:101,+,0.096
146,20:97,24:101,+,0.13
147,20:97,24:101,+,0.133
148,20:97,24:101,+,0.124
149,20:97,24:101,+,0.102
150,20:97,24:101,+,0.141
151,20:97,24:101,+,0.107
152,20:97,24:101,+,0.142
153,20:97,24:101,+,0.107
154,20:97,24:101,+,0.12
155,20:97,24:101,+,0.138
156,20:97,24:101,+,0.145
157,20:97,24:101,+,0.147
158,20:97,24:101,+,0.094
159,20:97,24:101,+,0.102
160,20:97,24:101,+,0.109
161,20:97,24:101,+,0.126
162,20:97,24:101,+,0.127
163,20:97,24:101,+,0.139
164,20:97,24:101,+,0.144
165,20:97,24:101,+,0.144
166,20:97,24:101,+,0.116
167,20:97,24:101,+,0.103
168,20:97,24:101,+,0.086
169,20:97,24:101,+,0.129
170,20:97,24:101,+,0.124
171,20:97,24:101,+,0.134
172,20:97,24:101,+,0.13
173,20:97,24:101,+,0.143
174,20:97,24:101,+,0.166
175,20:97,24:101,+,0.133
176,20:97,24:101,+,0.124
177,20:97,24:101,+,0.173
178,20:97,24:101,+,0.163
179,20:97,24:101,+,0.117
180,20:97,24:101,+,0.112
181,20:97,24:101,+,0.132
182,20:97,24:101,+,0.104
183,20:97,24:101,+,0.147
184,20:97,24:101,+,0.117
185,20:97,24:101,+,0.142
186,20:97,24:101,+,0.121
187,20:97,24:101,+,0.117
188,20:97,24:101,+,0.137
189,20:97,24:101,+,0.119
190,20:97,24:101,+,0.106
191,20:97,24:101,+,0.077
192,20:97,24:101,+,0.089
193,20:97,24:101,+,0.075
194,20:97,24:101,+,0.097
195,20:97,24:101,+,0.168
196,20:97,24:101,+,0.151
197,20:97,24:101,+,0.116
198,20:97,24:101,+,0.146
199,20:97,24:101,+,0.137
200,20:97,24:101,+,0.132
201,20:97,20:97,,0.06
202,20:97,24:101,+,0.095
203,20:97,24:101,+,0.14
204,20:97,24:101,+,0.135
205,20:97,24:101,+,0.125
206,20:97,24:101,+,0.135
207,20:97,24:101,+,0.103
208,20:97,24:101,+,0.103
209,20:97,24:101,+,0.092
210,20:97,24:101,+,0.118
211,20:97,24:101,+,0.126
212,20:97,24:101,+,0.094
213,20:97,24:101,+,0.163
214,20:97,24:101,+,0.124
215,20:97,24:101,+,0.125
216,20:97,24:101,+,0.092
217,20:97,24:101,+,0.09
218,20:97,24:101,+,0.133
219,20:97,24:101,+,0.126
220,20:97,18:60,+,0.128
221,20:97,24:101,+,0.145
222,20:97,24:101,+,0.142
223,20:97,24:101,+,0.132
224,20:97,24:101,+,0.149
225,20:97,24:101,+,0.143
226,20:97,24:101,+,0.123
227,20:97,24:101,+,0.122
228,20:97,24:101,+,0.125
229,20:97,24:101,+,0.128
230,20:97,24:101,+,0.078
231,20:97,24:101,+,0.139
232,20:97,24:101,+,0.131
233,20:97,24:101,+,0.117
234,20:97,24:101,+,0.126
235,20:97,24:101,+,0.132
236,20:97,24:101,+,0.102
237,20:97,20:97,,0.076
238,20:97,24:101,+,0.119
239,20:97,24:101,+,0.143
240,20:97,24:101,+,0.1
241,20:97,24:101,+,0.117
242,20:97,24:101,+,0.126
243,20:97,24:101,+,0.126
244,20:97,24:101,+,0.115
245,20:97,24:101,+,0.115
246,20:97,24:101,+,0.152
247,20:97,24:101,+,0.106
248,20:97,24:101,+,0.112
249,20:97,24:101,+,0.1
250,20:97,24:101,+,0.136
251,20:97,24:101,+,0.106
252,20:97,24:101,+,0.124
253,20:97,24:101,+,0.106
254,20:97,24:101,+,0.129
255,20:97,24:101,+,0.127
256,20:97,24:101,+,0.123
257,20:97,24:101,+,0.127
258,20:97,24:101,+,0.147
259,20:97,24:101,+,0.106
260,20:97,24:101,+,0.125
261,20:97,24:101,+,0.133
262,28:105,24:101,+,0.108
263,28:105,24:101,+,0.121
264,28:105,24:101,+,0.127
265,28:105,24:101,+,0.095
266,28:105,24:101,+,0.117
267,28:105,24:101,+,0.089
268,28:105,24:101,+,0.14
269,28:105,20:97,+,0.073
270,28:105,24:101,+,0.105
271,28:105,24:101,+,0.107
272,28:105,24:101,+,0.113
273,28:105,24:101,+,0.084
274,28:105,24:101,+,0.133
275,28:105,24:101,+,0.138
276,28:105,24:101,+,0.087
277,28:105,24:101,+,0.097
278,28:105,24:101,+,0.116
279,28:105,20:97,+,0.074
280,28:105,24:101,+,0.126
281,28:105,24:101,+,0.13
282,28:105,24:101,+,0.159
283,28:105,24:101,+,0.182
284,28:105,24:101,+,0.144
285,28:105,24:101,+,0.144
286,28:105,24:101,+,0.129
287,28:105,24:101,+,0.128
288,28:105,24:101,+,0.149
289,28:105,24:101,+,0.121
290,28:105,24:101,+,0.113
291,28:105,24:101,+,0.093
292,28:105,24:101,+,0.131
293,28:105,24:101,+,0.133
294,28:105,24:101,+,0.123
295,28:105,24:101,+,0.155
296,28:105,24:101,+,0.134
297,28:105,24:101,+,0.094
298,28:105,24:101,+,0.104
299,28:105,24:101,+,0.127
300,28:105,24:101,+,0.116
301,28:105,24:101,+,0.109
302,28:105,24:101,+,0.106
303,28:105,24:101,+,0.142
304,28:105,24:101,+,0.128
305,28:105,24:101,+,0.179
306,28:105,24:101,+,0.14
307,28:105,24:101,+,0.179
308,28:105,24:101,+,0.129
309,28:105,24:101,+,0.118
310,28:105,24:101,+,0.116
311,28:105,24:101,+,0.116
312,28:105,24:101,+,0.133
313,28:105,24:101,+,0.175
314,28:105,24:101,+,0.114
315,28:105,24:101,+,0.123
316,28:105,24:101,+,0.16
317,28:105,24:101,+,0.132
318,28:105,24:101,+,0.137
319,28:105,24:101,+,0.107
320,28:105,24:101,+,0.133
321,28:105,24:101,+,0.145
322,28:105,24:101,+,0.168
323,28:105,24:101,+,0.12
324,28:105,24:101,+,0.12
325,28:105,24:101,+,0.13
326,28:105,24:101,+,0.132
327,28:105,24:101,+,0.142
328,28:105,24:101,+,0.145
329,28:105,24:101,+,0.12
330,28:105,24:101,+,0.128
331,28:105,24:101,+,0.137
332,28:105,24:101,+,0.101
333,28:105,24:101,+,0.128
334,28:105,24:101,+,0.133
335,28:105,24:101,+,0.062
336,28:105,24:101,+,0.107
337,28:105,24:101,+,0.15
338,28:105,24:101,+,0.127
339,28:105,24:101,+,0.152
340,28:105,24:101,+,0.153
341,28:105,24:101,+,0.121
342,28:105,24:101,+,0.14
343,28:105,24:101,+,0.082
344,28:105,24:101,+,0.145
345,28:105,24:101,+,0.176
346,28:105,24:101,+,0.13
347,28:105,24:101,+,0.104
348,28:105,24:101,+,0.07
349,28:105,24:101,+,0.127
350,28:105,24:101,+,0.126
351,28:105,24:101,+,0.146
352,28:105,24:101,+,0.134
353,28:105,24:101,+,0.118
354,28:105,24:101,+,0.142
355,28:105,24:101,+,0.108
356,31:108,24:101,+,0.153
357,31:108,24:101,+,0.115
358,31:108,24:101,+,0.115
359,31:108,24:101,+,0.13
360,31:108,24:101,+,0.112
361,31:108,24:101,+,0.12
362,31:108,24:101,+,0.14
363,31:108,24:101,+,0.141
364,31:108,24:101,+,0.096
365,31:108,24:101,+,0.123
366,31:108,24:101,+,0.151
367,31:108,24:101,+,0.124
368,31:108,24:101,+,0.141
369,31:108,24:101,+,0.145
370,31:108,24:101,+,0.13
371,31:108,24:101,+,0.118
372,31:108,24:101,+,0.091
373,31:108,24:101,+,0.137
374,31:108,24:101,+,0.125
375,31:108,24:101,+,0.114
376,31:108,24:101,+,0.173
377,31:108,24:101,+,0.126
378,31:108,24:101,+,0.122
379,31:108,24:101,+,0.144
380,31:108,24:101,+,0.12
381,31:108,24:101,+,0.111
382,31:108,24:101,+,0.145
383,31:108,24:101,+,0.07
384,31:108,24:101,+,0.123
385,31:108,24:101,+,0.125
386,31:108,24:101,+,0.138
387,31:108,24:101,+,0.142
388,31:108,24:101,+,0.166
389,31:108,24:101,+,0.097
390,31:108,24:101,+,0.146
391,31:108,24:101,+,0.157
392,31:108,24:101,+,0.061
393,31:108,24:101,+,0.131
394,31:108,24:101,+,0.15
395,31:108,24:101,+,0.13
396,31:108,24:101,+,0.14
397,31:108,24:101,+,0.144
398,31:108,24:101,+,0.121
399,31:108,24:101,+,0.158
400,31:108,24:101,+,0.155
401,31:108,24:101,+,0.126
402,31:108,24:101,+,0.141
403,31:108,24:101,+,0.143
404,31:108,24:101,+,0.096
405,31:108,24:101,+,0.147
406,31:108,24:101,+,0.121
407,31:108,24:101,+,0.128
408,31:108,24:101,+,0.106
409,31:108,24:101,+,0.134
410,31:108,24:101,+,0.132
411,31:108,24:101,+,0.135
412,31:108,24:101,+,0.141
413,31:108,24:101,+,0.092
414,31:108,24:101,+,0.148
415,31:108,24:101,+,0.143
416,31:108,24:101,+,0.122
417,31:108,24:101,+,0.158
418,31:108,24:101,+,0.106
419,31:108,24:101,+,0.079
420,31:108,24:101,+,0.136
421,31:108,24:101,+,0.136
422,31:108,24:101,+,0.137
423,31:108,24:101,+,0.126
424,31:108,24:101,+,0.154
425,31:108,20:97,+,0.089
426,31:108,24:101,+,0.115
427,31:108,24:101,+,0.103
428,31:108,24:101,+,0.133
429,31:108,24:101,+,0.169
430,31:108,24:101,+,0.15
431,31:108,24:101,+,0.139
432,31:108,24:101,+,0.136
433,31:108,24:101,+,0.111
434,31:108,24:101,+,0.134
435,31:108,24:101,+,0.118
436,31:108,24:101,+,0.142
437,31:108,24:101,+,0.092
438,31:108,24:101,+,0.116
439,31:108,24:101,+,0.109
440,31:108,24:101,+,0.156
441,31:108,24:101,+,0.109
442,31:108,24:101,+,0.146
443,31:108,24:101,+,0.14
444,31:108,24:101,+,0.135
445,31:108,24:101,+,0.149
446,31:108,24:101,+,0.129
447,31:108,24:101,+,0.158
448,31:108,42:119,+,0.093
449,31:108,24:101,+,0.12
450,31:108,24:101,+,0.11
451,31:108,24:101,+,0.138
452,31:108,24:101,+,0.097
453,31:108,24:101,+,0.143
454,31:108,24:101,+,0.116
455,31:108,24:101,+,0.101
456,31:108,24:101,+,0.103
457,31:108,24:101,+,0.146
458,31:108,24:101,+,0.097
459,31:108,24:101,+,0.124
460,31:108,24:101,+,0.141
461,31:108,24:101,+,0.116
462,31:108,24:101,+,0.152
463,31:108,24:101,+,0.145
464,31:108,24:101,+,0.159
465,31:108,24:101,+,0.172
466,31:108,24:101,+,0.12
467,31:108,24:101,+,0.112
468,31:108,24:101,+,0.158
469,31:108,24:101,+,0.105
470,31:108,24:101,+,0.131
471,38:115,24:101,+,0.146
472,38:115,24:101,+,0.076
473,38:115,24:101,+,0.13
474,38:115,24:101,+,0.128
475,38:115,24:101,+,0.109
476,38:115,24:101,+,0.106
477,38:115,24:101,+,0.092
478,38:115,24:101,+,0.141
479,38:115,24:101,+,0.116
480,38:115,24:101,+,0.129
481,38:115,24:101,+,0.138
482,38:115,24:101,+,0.14
483,38:115,24:101,+,0.137
484,38:115,24:101,+,0.171
485,38:115,24:101,+,0.088
486,38:115,24:101,+,0.13
487,38:115,24:101,+,0.106
488,38:115,24:101,+,0.146
489,38:115,24:101,+,0.146
490,38:115,24:101,+,0.141
491,38:115,24:101,+,0.14
492,38:115,24:101,+,0.077
493,38:115,24:101,+,0.114
494,38:115,24:101,+,0.155
495,38:115,24:101,+,0.14
496,38:115,24:101,+,0.12
497,38:115,24:101,+,0.133
498,38:115,24:101,+,0.14
499,38:115,24:101,+,0.107
500,38:115,24:101,+,0.133
501,38:115,24:101,+,0.139
502,38:115,24:101,+,0.146
503,38:115,24:101,+,0.092
504,38:115,24:101,+,0.107
505,38:115,24:101,+,0.092
506,38:115,24:101,+,0.119
507,38:115,24:101,+,0.132
508,38:115,24:101,+,0.122
509,38:115,24:101,+,0.138
510,38:115,24:101,+,0.134
511,38:115,24:101,+,0.142
512,38:115,24:101,+,0.143
513,38:115,24:101,+,0.11
514,38:115,24:101,+,0.133
515,38:115,24:101,+,0.139
516,38:115,24:101,+,0.113
517,38:115,24:101,+,0.114
518,38:115,24:101,+,0.094
519,38:115,24:101,+,0.131
520,38:115,24:101,+,0.105
521,38:115,24:101,+,0.126
522,38:115,24:101,+,0.09
523,38:115,24:101,+,0.152
524,38:115,24:101,+,0.134
525,38:115,24:101,+,0.124
526,38:115,24:101,+,0.145
527,38:115,24:101,+,0.14
528,38:115,24:101,+,0.13
529,38:115,24:101,+,0.117
530,38:115,24:101,+,0.101
531,38:115,24:101,+,0.134
532,38:115,24:101,+,0.102
533,38:115,24:101,+,0.127
534,38:115,24:101,+,0.109
535,38:115,24:101,+,0.145
536,38:115,19:96,+,0.082
537,38:115,24:101,+,0.126
538,38:115,24:101,+,0.113
539,38:115,24:101,+,0.103
540,38:115,24:101,+,0.155
541,38:115,24:101,+,0.154
542,38:115,24:101,+,0.107
543,38:115,24:101,+,0.13
544,38:115,24:101,+,0.132
545,38:115,24:101,+,0.142
546,38:115,24:101,+,0.133
547,38:115,24:101,+,0.126
548,38:115,24:101,+,0.103
549,38:115,24:101,+,0.097
550,38:115,24:101,+,0.109
551,38:115,24:101,+,0.142
552,38:115,24:101,+,0.148
553,38:115,24:101,+,0.12
554,38:115,24:101,+,0.145
555,38:115,24:101,+,0.115
556,38:115,24:101,+,0.097
557,38:115,24:101,+,0.156
558,38:115,24:101,+,0.112
559,38:115,24:101,+,0.103
560,38:115,24:101,+,0.111
561,38:115,24:101,+,0.135
562,38:115,24:101,+,0.087
563,38:115,24:101,+,0.138
564,38:115,24:101,+,0.108
565,38:115,24:101,+,0.112
566,38:115,24:101,+,0.114
567,38:115,24:101,+,0.147
568,38:115,24:101,+,0.134
569,38:115,24:101,+,0.132
570,38:115,24:101,+,0.131
571,38:115,24:101,+,0.1
572,38:115,24:101,+,0.131
573,38:115,24:101,+,0.161
574,38:115,24:101,+,0.137
575,38:115,24:101,+,0.113
576,38:115,24:101,+,0.132
577,38:115,24:101,+,0.134
578,38:115,24:101,+,0.096
579,38:115,24:101,+,0.081
580,38:115,24:101,+,0.128
581,38:115,24:101,+,0.115
582,38:115,24:101,+,0.1
583,38:115,24:101,+,0.163
584,38:115,24:101,+,0.12
585,38:115,24:101,+,0.141
586,38:115,24:101,+,0.119
587,38:115,24:101,+,0.123
588,38:115,24:101,+,0.15
589,38:115,24:101,+,0.146
590,38:115,24:101,+,0.106
591,38:115,24:101,+,0.132
592,38:115,24:101,+,0.118
593,38:115,24:101,+,0.152
594,38:115,24:101,+,0.155
595,38:115,24:101,+,0.126
596,38:115,24:101,+,0.137
597,38:115,24:101,+,0.107
598,38:115,24:101,+,0.143
599,38:115,24:101,+,0.099
600,38:115,24:101,+,0.171
601,38:115,24:101,+,0.112
602,38:115,24:101,+,0.141
603,38:115,24:101,+,0.162
604,38:115,24:101,+,0.147
605,38:115,24:101,+,0.095
606,38:115,24:101,+,0.154
607,38:115,24:101,+,0.144
608,38:115,24:101,+,0.116
609,38:115,24:101,+,0.144
610,38:115,24:101,+,0.151
611,24:101,24:101,,0.123
612,24:101,24:101,,0.133
613,24:101,24:101,,0.138
614,24:101,24:101,,0.144
615,24:101,24:101,,0.121
616,24:101,24:101,,0.128
617,24:101,24:101,,0.131
618,24:101,20:97,+,0.113
619,24:101,24:101,,0.078
620,24:101,24:101,,0.13
621,24:101,24:101,,0.14
622,24:101,24:101,,0.131
623,24:101,24:101,,0.129
624,24:101,24:101,,0.114
625,24:101,24:101,,0.07
626,24:101,24:101,,0.076
627,24:101,24:101,,0.145
628,24:101,24:101,,0.139
629,24:101,24:101,,0.131
630,24:101,24:101,,0.127
631,24:101,24:101,,0.129
632,24:101,24:101,,0.142
633,24:101,24:101,,0.132
634,24:101,24:101,,0.114
635,24:101,24:101,,0.128
636,24:101,24:101,,0.145
637,24:101,24:101,,0.12
638,24:101,24:101,,0.128
639,24:101,24:101,,0.13
640,24:101,24:101,,0.127
641,24:101,24:101,,0.124
642,24:101,24:101,,0.122
643,24:101,24:101,,0.143
644,24:101,24:101,,0.145
645,24:101,24:101,,0.104
646,24:101,24:101,,0.097
647,24:101,24:101,,0.142
648,24:101,24:101,,0.123
649,24:101,24:101,,0.127
650,24:101,24:101,,0.122
651,24:101,24:101,,0.134
652,24:101,24:101,,0.155
653,24:101,24:101,,0.131
654,24:101,24:101,,0.143
655,24:101,24:101,,0.125
656,24:101,24:101,,0.111
657,24:101,24:101,,0.142
658,24:101,24:101,,0.133
659,24:101,24:101,,0.129
660,24:101,24:101,,0.125
661,24:101,24:101,,0.142
662,24:101,24:101,,0.125
663,24:101,24:101,,0.155
664,24:101,24:101,,0.151
665,24:101,24:101,,0.127
666,24:101,24:101,,0.141
667,24:101,24:101,,0.128
668,24:101,24:101,,0.148
669,24:101,24:101,,0.113
670,24:101,24:101,,0.174
671,24:101,24:101,,0.145
672,24:101,24:101,,0.13
673,24:101,24:101,,0.146
674,24:101,24:101,,0.133
675,24:101,24:101,,0.141
676,24:101,24:101,,0.117
677,24:101,24:101,,0.127
678,24:101,24:101,,0.139
679,24:101,24:101,,0.118
680,24:101,24:101,,0.111
681,24:101,24:101,,0.079
682,24:101,24:101,,0.148
683,24:101,24:101,,0.105
684,24:101,24:101,,0.15
685,24:101,24:101,,0.139
686,24:101,24:101,,0.141
687,24:101,24:101,,0.149
688,24:101,24:101,,0.11
689,24:101,24:101,,0.146
690,24:101,24:101,,0.125
691,24:101,24:101,,0.146
692,24:101,24:101,,0.139
693,24:101,24:101,,0.122
694,24:101,24:101,,0.134
695,24:101,24:101,,0.124
696,24:101,24:101,,0.132
697,24:101,24:101,,0.117
698,24:101,24:101,,0.153
699,24:101,24:101,,0.114
700,24:101,24:101,,0.131
701,24:101,24:101,,0.134
702,24:101,24:101,,0.129
703,24:101,24:101,,0.175
704,24:101,24:101,,0.12
705,24:101,24:101,,0.146
706,24:101,24:101,,0.141
707,24:101,20:97,+,0.079
708,24:101,24:101,,0.149
709,24:101,24:101,,0.082
710,24:101,24:101,,0.111
711,24:101,24:101,,0.138
712,24:101,24:101,,0.12
713,24:101,24:101,,0.124
714,24:101,24:101,,0.103
715,24:101,24:101,,0.116
716,24:101,24:101,,0.11
717,24:101,24:101,,0.123
718,24:101,24:101,,0.07
719,24:101,24:101,,0.146
720,24:101,24:101,,0.113
721,24:101,24:101,,0.092
722,24:101,24:101,,0.106
723,24:101,24:101,,0.118
724,24:101,24:101,,0.133
725,24:101,24:101,,0.147
726,24:101,24:101,,0.074
727,24:101,24:101,,0.125
728,24:101,24:101,,0.108
729,24:101,24:101,,0.147
730,24:101,24:101,,0.149
731,24:101,24:101,,0.107
732,24:101,24:101,,0.155
733,24:101,24:101,,0.18
734,24:101,24:101,,0.126
735,24:101,24:101,,0.128
736,24:101,24:101,,0.126
737,24:101,24:101,,0.163
738,24:101,24:101,,0.112
739,24:101,24:101,,0.142
740,24:101,24:101,,0.133
741,24:101,24:101,,0.104
742,24:101,24:101,,0.146
743,24:101,24:101,,0.147
744,24:101,24:101,,0.125
745,24:101,24:101,,0.116
746,24:101,24:101,,0.117
747,24:101,24:101,,0.142
748,24:101,24:101,,0.141
749,24:101,24:101,,0.102
750,24:101,24:101,,0.13
751,24:101,24:101,,0.087
752,24:101,24:101,,0.099
753,24:101,24:101,,0.112
754,24:101,24:101,,0.129
755,24:101,24:101,,0.13
756,24:101,24:101,,0.096
757,24:101,24:101,,0.128
758,24:101,24:101,,0.161
759,24:101,24:101,,0.122
760,24:101,24:101,,0.143
761,24:101,24:101,,0.104
762,24:101,24:101,,0.133
763,24:101,24:101,,0.125
764,24:101,24:101,,0.143
765,24:101,24:101,,0.152
766,24:101,24:101,,0.164
767,24:101,24:101,,0.125
768,24:101,24:101,,0.124
769,24:101,24:101,,0.111
770,24:101,24:101,,0.144
771,24:101,24:101,,0.14
772,24:101,24:101,,0.128
773,24:101,24:101,,0.113
774,24:101,24:101,,0.08
775,24:101,24:101,,0.14
776,24:101,24:101,,0.122
777,24:101,24:101,,0.129
778,24:101,24:101,,0.125
779,24:101,24:101,,0.127
780,24:101,24:101,,0.136
781,24:101,24:101,,0.135
782,24:101,24:101,,0.115
783,24:101,24:101,,0.111
784,24:101,24:101,,0.136
785,24:101,24:101,,0.143
786,24:101,24:101,,0.134
787,24:101,24:101,,0.102
788,24:101,24:101,,0.1
789,24:101,24:101,,0.13
790,24:101,24:101,,0.133
791,24:101,24:101,,0.104
792,24:101,24:101,,0.145
793,24:101,24:101,,0.144
794,24:101,24:101,,0.122
795,24:101,24:101,,0.136
796,24:101,24:101,,0.143
797,24:101,24:101,,0.128
798,24:101,24:101,,0.183
799,24:101,24:101,,0.118
800,24:101,24:101,,0.109
801,24:101,24:101,,0.136
802,24:101,24:101,,0.136
803,24:101,24:101,,0.156
804,24:101,24:101,,0.096
805,24:101,24:101,,0.14
806,24:101,24:101,,0.103
807,24:101,24:101,,0.155
808,24:101,24:101,,0.129
809,24:101,24:101,,0.129
810,24:101,24:101,,0.13
811,24:101,24:101,,0.121
812,24:101,24:101,,0.118
813,24:101,24:101,,0.144
814,24:101,24:101,,0.14
815,24:101,24:101,,0.151
816,24:101,24:101,,0.106
817,24:101,24:101,,0.147
818,24:101,24:101,,0.106
819,24:101,24:101,,0.152
820,24:101,24:101,,0.142
821,24:101,24:101,,0.143
822,24:101,24:101,,0.087
823,24:101,24:101,,0.138
824,24:101,24:101,,0.071
825,24:101,24:101,,0.096
826,24:101,24:101,,0.104
827,24:101,24:101,,0.095
828,24:101,24:101,,0.149
829,24:101,24:101,,0.137
830,24:101,24:101,,0.138
831,24:101,24:101,,0.119
832,24:101,24:101,,0.066
833,24:101,24:101,,0.13
834,24:101,24:101,,0.103
835,24:101,24:101,,0.127
836,24:101,24:101,,0.122
837,24:101,24:101,,0.112
838,24:101,24:101,,0.132
839,24:101,24:101,,0.137
840,24:101,24:101,,0.096
841,24:101,24:101,,0.113
842,24:101,24:101,,0.1
843,24:101,24:101,,0.099
844,24:101,24:101,,0.145
845,24:101,24:101,,0.077
846,24:101,24:101,,0.101
847,24:101,24:101,,0.125
848,24:101,24:101,,0.12
849,24:101,24:101,,0.127
850,24:101,24:101,,0.136
851,24:101,24:101,,0.135
852,24:101,24:101,,0.135
853,24:101,24:101,,0.123
854,24:101,24:101,,0.157
855,24:101,24:101,,0.142
856,24:101,24:101,,0.115
857,24:101,24:101,,0.133
858,24:101,24:101,,0.157
